"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Full context"
" в тяровог едг ,отсем отЭ";"ичон";"Это место, где говорят в ";"ночи";" ";"годовые кольчатые волокна, и чужие фары";"М. Н. Айзенберг. «А зачем Москва? Отсели Москву...» (2015)";"М. Н. Айзенберг";"1948";"«А зачем Москва? Отсели Москву...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Это место, где говорят в ночи годовые кольчатые волокна, и чужие фары заходят в окна, как рентгеновские лучи. "
" еытачьлок еыводог ичон в тяровог едг";"анколов";"где говорят в ночи годовые кольчатые ";"волокна";", ";"и чужие фары заходят в окна";"М. Н. Айзенберг. «А зачем Москва? Отсели Москву...» (2015)";"М. Н. Айзенберг";"1948";"«А зачем Москва? Отсели Москву...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Это место, где говорят в ночи годовые кольчатые волокна, и чужие фары заходят в окна, как рентгеновские лучи. "
" в тядохаз ыраф еижуч и ,анколов";"анко";"волокна, и чужие фары заходят в ";"окна";", ";"как рентгеновские лучи. ";"М. Н. Айзенберг. «А зачем Москва? Отсели Москву...» (2015)";"М. Н. Айзенберг";"1948";"«А зачем Москва? Отсели Москву...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Это место, где говорят в ночи годовые кольчатые волокна, и чужие фары заходят в окна, как рентгеновские лучи. "
" еиксвонегтнер как ,анко в тядохаз ыраф";"ичул";"фары заходят в окна, как рентгеновские ";"лучи";". ";"";"М. Н. Айзенберг. «А зачем Москва? Отсели Москву...» (2015)";"М. Н. Айзенберг";"1948";"«А зачем Москва? Отсели Москву...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Это место, где говорят в ночи годовые кольчатые волокна, и чужие фары заходят в окна, как рентгеновские лучи. "
" итсодар ин адгок оН";"йокакин";"Но когда ни радости ";"никакой";", ";"и прошедшее сделалось неизвестным, то во";"М. Н. Айзенберг. «А зачем Москва? Отсели Москву...» (2015)";"М. Н. Айзенберг";"1948";"«А зачем Москва? Отсели Москву...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Но когда ни радости никакой, и прошедшее сделалось неизвестным, то во сне подземной течет рекой, в темноте становится новым местом. "
" ьсолаледс еешдешорп и ,йокакин итсодар ин";"мынтсевзиен";"ни радости никакой, и прошедшее сделалось ";"неизвестным";", ";"то во сне подземной течет рекой";"М. Н. Айзенберг. «А зачем Москва? Отсели Москву...» (2015)";"М. Н. Айзенберг";"1948";"«А зачем Москва? Отсели Москву...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Но когда ни радости никакой, и прошедшее сделалось неизвестным, то во сне подземной течет рекой, в темноте становится новым местом. "
" течет йонмездоп енс ов от ,мынтсевзиен";"йокер";"неизвестным, то во сне подземной течет ";"рекой";", ";"в темноте становится новым местом. ";"М. Н. Айзенберг. «А зачем Москва? Отсели Москву...» (2015)";"М. Н. Айзенберг";"1948";"«А зачем Москва? Отсели Москву...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Но когда ни радости никакой, и прошедшее сделалось неизвестным, то во сне подземной течет рекой, в темноте становится новым местом. "
" мывон ястивонатс етонмет в ,йокер течет";"мотсем";"течет рекой, в темноте становится новым ";"местом";". ";"";"М. Н. Айзенберг. «А зачем Москва? Отсели Москву...» (2015)";"М. Н. Айзенберг";"1948";"«А зачем Москва? Отсели Москву...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Но когда ни радости никакой, и прошедшее сделалось неизвестным, то во сне подземной течет рекой, в темноте становится новым местом. "
" ястюачулс мачон оп А";"окдерен";"А по ночам случаются ";"нередко";" ";"здесь бабочки с ладонь величиной. ";"М. Н. Айзенберг. «А по ночам случаются нередко...» (2015)";"М. Н. Айзенберг";"1948";"«А по ночам случаются нередко...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"А по ночам случаются нередко здесь бабочки с ладонь величиной. Пугает их зловещая расцветка за чёрной маской бледностью мучной. "
" ьнодал с икчобаб ьседз окдерен ястюачулс";"йоничилев";"случаются нередко здесь бабочки с ладонь ";"величиной";". ";"";"М. Н. Айзенберг. «А по ночам случаются нередко...» (2015)";"М. Н. Айзенберг";"1948";"«А по ночам случаются нередко...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"А по ночам случаются нередко здесь бабочки с ладонь величиной. Пугает их зловещая расцветка за чёрной маской бледностью мучной. "
" яащеволз хи теагуП";"актевцсар";"Пугает их зловещая ";"расцветка";" ";"за чёрной маской бледностью мучной. ";"М. Н. Айзенберг. «А по ночам случаются нередко...» (2015)";"М. Н. Айзенберг";"1948";"«А по ночам случаются нередко...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"А по ночам случаются нередко здесь бабочки с ладонь величиной. Пугает их зловещая расцветка за чёрной маской бледностью мучной. "
" юьтсонделб йоксам йонрёч аз актевцсар яащеволз";"йончум";"зловещая расцветка за чёрной маской бледностью ";"мучной";". ";"";"М. Н. Айзенберг. «А по ночам случаются нередко...» (2015)";"М. Н. Айзенберг";"1948";"«А по ночам случаются нередко...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"А по ночам случаются нередко здесь бабочки с ладонь величиной. Пугает их зловещая расцветка за чёрной маской бледностью мучной. "
" изерорп в ыцирещя И";"еынзалг";"И ящерицы в прорези ";"глазные";", ";"и ястребиный глаз на высоте по-разному";"М. Н. Айзенберг. «А по ночам случаются нередко...» (2015)";"М. Н. Айзенберг";"1948";"«А по ночам случаются нередко...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"И ящерицы в прорези глазные, и ястребиный глаз на высоте по-разному увидят, как лесные гадюки пробираются к воде. "
" ан залг йынибертся и ,еынзалг изерорп";"етосыв";"прорези глазные, и ястребиный глаз на ";"высоте";" ";"по-разному увидят, как лесные гадюки пробираются";"М. Н. Айзенберг. «А по ночам случаются нередко...» (2015)";"М. Н. Айзенберг";"1948";"«А по ночам случаются нередко...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"И ящерицы в прорези глазные, и ястребиный глаз на высоте по-разному увидят, как лесные гадюки пробираются к воде. "
" как ,тядиву умонзар-оп етосыв ан залг";"еынсел";"глаз на высоте по-разному увидят, как ";"лесные";" ";"гадюки пробираются к воде. ";"М. Н. Айзенберг. «А по ночам случаются нередко...» (2015)";"М. Н. Айзенберг";"1948";"«А по ночам случаются нередко...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"И ящерицы в прорези глазные, и ястребиный глаз на высоте по-разному увидят, как лесные гадюки пробираются к воде. "
" к ястюариборп икюдаг еынсел как ,тядиву";"едов";"увидят, как лесные гадюки пробираются к ";"воде";". ";"";"М. Н. Айзенберг. «А по ночам случаются нередко...» (2015)";"М. Н. Айзенберг";"1948";"«А по ночам случаются нередко...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"И ящерицы в прорези глазные, и ястребиный глаз на высоте по-разному увидят, как лесные гадюки пробираются к воде. "
" йытырктоирп как ,ялмез отч А";"кищя";"А что земля, как приоткрытый ";"ящик";", ";"в другое лето выпустит на нас? ";"М. Н. Айзенберг. «А по ночам случаются нередко...» (2015)";"М. Н. Айзенберг";"1948";"«А по ночам случаются нередко...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"А что земля, как приоткрытый ящик, в другое лето выпустит на нас? О, только бы чудовищ настоящих поберегла, оставив про запас. "
" ан титсупыв отел еогурд в ,кищя";"сан";"ящик, в другое лето выпустит на ";"нас";"? ";"";"М. Н. Айзенберг. «А по ночам случаются нередко...» (2015)";"М. Н. Айзенберг";"1948";"«А по ночам случаются нередко...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"А что земля, как приоткрытый ящик, в другое лето выпустит на нас? О, только бы чудовищ настоящих поберегла, оставив про запас. "
" щиводуч ыб окьлот ,О";"хищяотсан";"О, только бы чудовищ ";"настоящих";" ";"поберегла, оставив про запас. ";"М. Н. Айзенберг. «А по ночам случаются нередко...» (2015)";"М. Н. Айзенберг";"1948";"«А по ночам случаются нередко...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"А что земля, как приоткрытый ящик, в другое лето выпустит на нас? О, только бы чудовищ настоящих поберегла, оставив про запас. "
" орп виватсо ,алгеребоп хищяотсан щиводуч ыб";"сапаз";"бы чудовищ настоящих поберегла, оставив про ";"запас";". ";"";"М. Н. Айзенберг. «А по ночам случаются нередко...» (2015)";"М. Н. Айзенберг";"1948";"«А по ночам случаются нередко...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"А что земля, как приоткрытый ящик, в другое лето выпустит на нас? О, только бы чудовищ настоящих поберегла, оставив про запас. "
" отч ,ьнзиж яажуч А";"алыб";"А чужая жизнь, что ";"была";" ";"и себя брала напролом, а теперь";"М. Н. Айзенберг. «А чужая жизнь, что была...» (2015)";"М. Н. Айзенберг";"1948";"«А чужая жизнь, что была...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"А чужая жизнь, что была и себя брала напролом, а теперь сошла добела, ни следа в лице меловом. "
" аларб ябес и алыб отч ,ьнзиж";"молорпан";"жизнь, что была и себя брала ";"напролом";", ";"а теперь сошла добела, ни следа";"М. Н. Айзенберг. «А чужая жизнь, что была...» (2015)";"М. Н. Айзенберг";"1948";"«А чужая жизнь, что была...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"А чужая жизнь, что была и себя брала напролом, а теперь сошла добела, ни следа в лице меловом. "
" алшос ьрепет а ,молорпан аларб ябес";"алебод";"себя брала напролом, а теперь сошла ";"добела";", ";"ни следа в лице меловом. ";"М. Н. Айзенберг. «А чужая жизнь, что была...» (2015)";"М. Н. Айзенберг";"1948";"«А чужая жизнь, что была...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"А чужая жизнь, что была и себя брала напролом, а теперь сошла добела, ни следа в лице меловом. "
" ецил в аделс ин ,алебод алшос";"моволем";"сошла добела, ни следа в лице ";"меловом";". ";"";"М. Н. Айзенберг. «А чужая жизнь, что была...» (2015)";"М. Н. Айзенберг";"1948";"«А чужая жизнь, что была...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"А чужая жизнь, что была и себя брала напролом, а теперь сошла добела, ни следа в лице меловом. "
" тюьш ен хикат ьседЗ";"цивакур";"Здесь таких не шьют ";"рукавиц";", ";"чтоб его вошли пятерни. ";"М. Н. Айзенберг. «А чужая жизнь, что была...» (2015)";"М. Н. Айзенберг";"1948";"«А чужая жизнь, что была...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Здесь таких не шьют рукавиц, чтоб его вошли пятерни. Подошли врачи без границ уложить его на ремни. "
" илшов оге ботч ,цивакур тюьш ен";"инретяп";"не шьют рукавиц, чтоб его вошли ";"пятерни";". ";"";"М. Н. Айзенберг. «А чужая жизнь, что была...» (2015)";"М. Н. Айзенберг";"1948";"«А чужая жизнь, что была...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Здесь таких не шьют рукавиц, чтоб его вошли пятерни. Подошли врачи без границ уложить его на ремни. "
" зеб ичарв илшодоП";"цинарг";"Подошли врачи без ";"границ";" ";"уложить его на ремни. ";"М. Н. Айзенберг. «А чужая жизнь, что была...» (2015)";"М. Н. Айзенберг";"1948";"«А чужая жизнь, что была...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Здесь таких не шьют рукавиц, чтоб его вошли пятерни. Подошли врачи без границ уложить его на ремни. "
" ан оге ьтижолу цинарг зеб ичарв";"инмер";"врачи без границ уложить его на ";"ремни";". ";"";"М. Н. Айзенберг. «А чужая жизнь, что была...» (2015)";"М. Н. Айзенберг";"1948";"«А чужая жизнь, что была...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Здесь таких не шьют рукавиц, чтоб его вошли пятерни. Подошли врачи без границ уложить его на ремни. "
" ин тен хародирок В";"ишуд";"В коридорах нет ни ";"души";". ";"";"М. Н. Айзенберг. «А чужая жизнь, что была...» (2015)";"М. Н. Айзенберг";"1948";"«А чужая жизнь, что была...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"В коридорах нет ни души. Вызывают лифт грузовой, нажимают все этажи, опускают вниз головой. "
" тфил тюавызыВ";"йовозург";"Вызывают лифт ";"грузовой";", ";"нажимают все этажи, опускают вниз головой. ";"М. Н. Айзенберг. «А чужая жизнь, что была...» (2015)";"М. Н. Айзенберг";"1948";"«А чужая жизнь, что была...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"В коридорах нет ни души. Вызывают лифт грузовой, нажимают все этажи, опускают вниз головой. "
" есв тюамижан ,йовозург тфил тюавызыВ";"ижатэ";"Вызывают лифт грузовой, нажимают все ";"этажи";", ";"опускают вниз головой. ";"М. Н. Айзенберг. «А чужая жизнь, что была...» (2015)";"М. Н. Айзенберг";"1948";"«А чужая жизнь, что была...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"В коридорах нет ни души. Вызывают лифт грузовой, нажимают все этажи, опускают вниз головой. "
" зинв тюаксупо ,ижатэ есв тюамижан ,йовозург";"йоволог";"грузовой, нажимают все этажи, опускают вниз ";"головой";". ";"";"М. Н. Айзенберг. «А чужая жизнь, что была...» (2015)";"М. Н. Айзенберг";"1948";"«А чужая жизнь, что была...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"В коридорах нет ни души. Вызывают лифт грузовой, нажимают все этажи, опускают вниз головой. "
" уме мечаз И";"голоркен";"И зачем ему ";"некролог";"? ";"";"М. Н. Айзенберг. «А чужая жизнь, что была...» (2015)";"М. Н. Айзенберг";"1948";"«А чужая жизнь, что была...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"И зачем ему некролог? Никому никто не помог. "
" ен откин умокиН";"гомоп";"Никому никто не ";"помог";". ";"";"М. Н. Айзенберг. «А чужая жизнь, что была...» (2015)";"М. Н. Айзенберг";"1948";"«А чужая жизнь, что была...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"И зачем ему некролог? Никому никто не помог. Отойдет и станет дымок. "
" тенатс и тедйотО";"комыд";"Отойдет и станет ";"дымок";". ";"";"М. Н. Айзенберг. «А чужая жизнь, что была...» (2015)";"М. Н. Айзенберг";"1948";"«А чужая жизнь, что была...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Никому никто не помог. Отойдет и станет дымок. "
" и нирипсА";"талотфлитемид";"Аспирин и ";"диметилфтолат";". ";"";"М. Н. Айзенберг. «Аспирин и диметилфтолат...» (2015)";"М. Н. Айзенберг";"1948";"«Аспирин и диметилфтолат...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Аспирин и диметилфтолат. Но какой же нужен диметил, чтобы он по краешку ходил и в больничный кутался халат? "
" нежун еж йокак оН";"литемид";"Но какой же нужен ";"диметил";", ";"чтобы он по краешку ходил и";"М. Н. Айзенберг. «Аспирин и диметилфтолат...» (2015)";"М. Н. Айзенберг";"1948";"«Аспирин и диметилфтолат...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Аспирин и диметилфтолат. Но какой же нужен диметил, чтобы он по краешку ходил и в больничный кутался халат? "
" укшеарк оп но ыботч ,литемид нежун";"лидох";"нужен диметил, чтобы он по краешку ";"ходил";" ";"и в больничный кутался халат? ";"М. Н. Айзенберг. «Аспирин и диметилфтолат...» (2015)";"М. Н. Айзенберг";"1948";"«Аспирин и диметилфтолат...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Аспирин и диметилфтолат. Но какой же нужен диметил, чтобы он по краешку ходил и в больничный кутался халат? "
" яслатук йынчиньлоб в и лидох укшеарк";"талах";"краешку ходил и в больничный кутался ";"халат";"? ";"";"М. Н. Айзенберг. «Аспирин и диметилфтолат...» (2015)";"М. Н. Айзенберг";"1948";"«Аспирин и диметилфтолат...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Аспирин и диметилфтолат. Но какой же нужен диметил, чтобы он по краешку ходил и в больничный кутался халат? "
" тюялуг улоп оП";"икянзовкс";"По полу гуляют ";"сквозняки";". ";"";"М. Н. Айзенберг. «Аспирин и диметилфтолат...» (2015)";"М. Н. Айзенберг";"1948";"«Аспирин и диметилфтолат...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"По полу гуляют сквозняки. Никого в квартире этой нет. "
" йотэ еритравк в огокиН";"тен";"Никого в квартире этой ";"нет";". ";"";"М. Н. Айзенберг. «Аспирин и диметилфтолат...» (2015)";"М. Н. Айзенберг";"1948";"«Аспирин и диметилфтолат...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"По полу гуляют сквозняки. Никого в квартире этой нет. В телефоне длинные гудки, и не отвечает абонент. "
" еыннилд енофелет В";"икдуг";"В телефоне длинные ";"гудки";", ";"и не отвечает абонент. ";"М. Н. Айзенберг. «Аспирин и диметилфтолат...» (2015)";"М. Н. Айзенберг";"1948";"«Аспирин и диметилфтолат...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Никого в квартире этой нет. В телефоне длинные гудки, и не отвечает абонент. "
" теачевто ен и ,икдуг еыннилд енофелет";"тненоба";"телефоне длинные гудки, и не отвечает ";"абонент";". ";"";"М. Н. Айзенберг. «Аспирин и диметилфтолат...» (2015)";"М. Н. Айзенберг";"1948";"«Аспирин и диметилфтолат...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Никого в квартире этой нет. В телефоне длинные гудки, и не отвечает абонент. "
" в ястеорк ен ондо оН";"могурд";"Но одно не кроется в ";"другом";". ";"";"М. Н. Айзенберг. «Аспирин и диметилфтолат...» (2015)";"М. Н. Айзенберг";"1948";"«Аспирин и диметилфтолат...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Но одно не кроется в другом. Может быть, спокойным стариком он теперь живёт в неясном виде, в удалённом штате Орегон, говоря: не заперто, входите "
" мынйокопс ,ьтыб тежоМ";"мокиратс";"Может быть, спокойным ";"стариком";" ";"он теперь живёт в неясном виде";"М. Н. Айзенберг. «Аспирин и диметилфтолат...» (2015)";"М. Н. Айзенберг";"1948";"«Аспирин и диметилфтолат...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Но одно не кроется в другом. Может быть, спокойным стариком он теперь живёт в неясном виде, в удалённом штате Орегон, говоря: не заперто, входите "
" монсяен в тёвиж ьрепет но мокиратс";"едив";"стариком он теперь живёт в неясном ";"виде";", ";"в удалённом штате Орегон, говоря: не";"М. Н. Айзенберг. «Аспирин и диметилфтолат...» (2015)";"М. Н. Айзенберг";"1948";"«Аспирин и диметилфтолат...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Но одно не кроется в другом. Может быть, спокойным стариком он теперь живёт в неясном виде, в удалённом штате Орегон, говоря: не заперто, входите "
" етатш моннёладу в ,едив монсяен в";"ногерО";"в неясном виде, в удалённом штате ";"Орегон";", ";"говоря: не заперто, входите ";"М. Н. Айзенберг. «Аспирин и диметилфтолат...» (2015)";"М. Н. Айзенберг";"1948";"«Аспирин и диметилфтолат...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Но одно не кроется в другом. Может быть, спокойным стариком он теперь живёт в неясном виде, в удалённом штате Орегон, говоря: не заперто, входите "
" ,отрепаз ен :яровог ,ногерО етатш моннёладу";"етидохв";"удалённом штате Орегон, говоря: не заперто, ";"входите";" ";"";"М. Н. Айзенберг. «Аспирин и диметилфтолат...» (2015)";"М. Н. Айзенберг";"1948";"«Аспирин и диметилфтолат...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Но одно не кроется в другом. Может быть, спокойным стариком он теперь живёт в неясном виде, в удалённом штате Орегон, говоря: не заперто, входите "
" в акчобаБ";"удас";"Бабочка в ";"саду";" ";"глаз откроет карий. ";"М. Н. Айзенберг. «Бабочка в саду...» (2015)";"М. Н. Айзенберг";"1948";"«Бабочка в саду...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Бабочка в саду глаз откроет карий. Вспыхнет на лету жизнь без нареканий. "
" теоркто залг удас в акчобаБ";"йирак";"Бабочка в саду глаз откроет ";"карий";". ";"";"М. Н. Айзенберг. «Бабочка в саду...» (2015)";"М. Н. Айзенберг";"1948";"«Бабочка в саду...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Бабочка в саду глаз откроет карий. Вспыхнет на лету жизнь без нареканий. "
" ан тенхыпсВ";"утел";"Вспыхнет на ";"лету";" ";"жизнь без нареканий. ";"М. Н. Айзенберг. «Бабочка в саду...» (2015)";"М. Н. Айзенберг";"1948";"«Бабочка в саду...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Бабочка в саду глаз откроет карий. Вспыхнет на лету жизнь без нареканий. "
" зеб ьнзиж утел ан тенхыпсВ";"йинакеран";"Вспыхнет на лету жизнь без ";"нареканий";". ";"";"М. Н. Айзенберг. «Бабочка в саду...» (2015)";"М. Н. Айзенберг";"1948";"«Бабочка в саду...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Бабочка в саду глаз откроет карий. Вспыхнет на лету жизнь без нареканий. "
" в изярг зи икчобаБ";"изянк";"Бабочки из грязи в ";"князи";", ";"серые в полоску, собираясь восвояси, выпьют";"М. Н. Айзенберг. «Бабочка в саду...» (2015)";"М. Н. Айзенберг";"1948";"«Бабочка в саду...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Бабочки из грязи в князи, серые в полоску, собираясь восвояси, выпьют на дорожку тёмную окрошку. "
" в еырес ,изянк в изярг зи";"уксолоп";"из грязи в князи, серые в ";"полоску";", ";"собираясь восвояси, выпьют на дорожку тёмную";"М. Н. Айзенберг. «Бабочка в саду...» (2015)";"М. Н. Айзенберг";"1948";"«Бабочка в саду...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Бабочки из грязи в князи, серые в полоску, собираясь восвояси, выпьют на дорожку тёмную окрошку. "
" ьсяарибос ,уксолоп в еырес ,изянк в";"исяовсов";"в князи, серые в полоску, собираясь ";"восвояси";", ";"выпьют на дорожку тёмную окрошку. ";"М. Н. Айзенберг. «Бабочка в саду...» (2015)";"М. Н. Айзенберг";"1948";"«Бабочка в саду...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Бабочки из грязи в князи, серые в полоску, собираясь восвояси, выпьют на дорожку тёмную окрошку. "
" ан тюьпыв ,исяовсов ьсяарибос ,уксолоп в";"укжород";"в полоску, собираясь восвояси, выпьют на ";"дорожку";" ";"тёмную окрошку. ";"М. Н. Айзенберг. «Бабочка в саду...» (2015)";"М. Н. Айзенберг";"1948";"«Бабочка в саду...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Бабочки из грязи в князи, серые в полоску, собираясь восвояси, выпьют на дорожку тёмную окрошку. "
" юунмёт укжород ан тюьпыв ,исяовсов ьсяарибос";"укшорко";"собираясь восвояси, выпьют на дорожку тёмную ";"окрошку";". ";"";"М. Н. Айзенберг. «Бабочка в саду...» (2015)";"М. Н. Айзенберг";"1948";"«Бабочка в саду...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Бабочки из грязи в князи, серые в полоску, собираясь восвояси, выпьют на дорожку тёмную окрошку. "
" ми етитсалсдоП";"йирокиц";"Подсластите им ";"цикорий";" ";"сахарным эфиром. ";"М. Н. Айзенберг. «Бабочка в саду...» (2015)";"М. Н. Айзенберг";"1948";"«Бабочка в саду...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Подсластите им цикорий сахарным эфиром. Всех полувоздушных тварей за глазок их синий, карий отпускайте с миром, чтоб земля не охладела к маленькому риску. "
" мынрахас йирокиц ми етитсалсдоП";"морифэ";"Подсластите им цикорий сахарным ";"эфиром";". ";"";"М. Н. Айзенберг. «Бабочка в саду...» (2015)";"М. Н. Айзенберг";"1948";"«Бабочка в саду...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Подсластите им цикорий сахарным эфиром. Всех полувоздушных тварей за глазок их синий, карий отпускайте с миром, чтоб земля не охладела к маленькому риску. "
" хыншудзовулоп хесВ";"йеравт";"Всех полувоздушных ";"тварей";" ";"за глазок их синий, карий отпускайте";"М. Н. Айзенберг. «Бабочка в саду...» (2015)";"М. Н. Айзенберг";"1948";"«Бабочка в саду...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Подсластите им цикорий сахарным эфиром. Всех полувоздушных тварей за глазок их синий, карий отпускайте с миром, чтоб земля не охладела к маленькому риску. "
" ,йинис хи козалг аз йеравт хыншудзовулоп";"йирак";"полувоздушных тварей за глазок их синий, ";"карий";" ";"отпускайте с миром, чтоб земля не";"М. Н. Айзенберг. «Бабочка в саду...» (2015)";"М. Н. Айзенберг";"1948";"«Бабочка в саду...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Подсластите им цикорий сахарным эфиром. Всех полувоздушных тварей за глазок их синий, карий отпускайте с миром, чтоб земля не охладела к маленькому риску. "
" с етйаксупто йирак ,йинис хи козалг";"морим";"глазок их синий, карий отпускайте с ";"миром";", ";"чтоб земля не охладела к маленькому";"М. Н. Айзенберг. «Бабочка в саду...» (2015)";"М. Н. Айзенберг";"1948";"«Бабочка в саду...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Подсластите им цикорий сахарным эфиром. Всех полувоздушных тварей за глазок их синий, карий отпускайте с миром, чтоб земля не охладела к маленькому риску. "
" ен ялмез ботч ,морим с етйаксупто";"аледалхо";"отпускайте с миром, чтоб земля не ";"охладела";" ";"к маленькому риску. ";"М. Н. Айзенберг. «Бабочка в саду...» (2015)";"М. Н. Айзенберг";"1948";"«Бабочка в саду...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Подсластите им цикорий сахарным эфиром. Всех полувоздушных тварей за глазок их синий, карий отпускайте с миром, чтоб земля не охладела к маленькому риску. "
" умокьнелам к аледалхо ен ялмез ботч";"уксир";"чтоб земля не охладела к маленькому ";"риску";". ";"";"М. Н. Айзенберг. «Бабочка в саду...» (2015)";"М. Н. Айзенберг";"1948";"«Бабочка в саду...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Подсластите им цикорий сахарным эфиром. Всех полувоздушных тварей за глазок их синий, карий отпускайте с миром, чтоб земля не охладела к маленькому риску. "
" отэ ан я окьлоТ";"олед";"Только я на это ";"дело";" ";"не давал подписку ― чёрной сажей щёки";"М. Н. Айзенберг. «Бабочка в саду...» (2015)";"М. Н. Айзенберг";"1948";"«Бабочка в саду...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Только я на это дело не давал подписку ― чёрной сажей щёки мазать, издалёка как неясыть говорить свое угу через не могу. "
" лавад ен олед отэ ан я";"уксипдоп";"я на это дело не давал ";"подписку";" ― ";"чёрной сажей щёки мазать, издалёка как";"М. Н. Айзенберг. «Бабочка в саду...» (2015)";"М. Н. Айзенберг";"1948";"«Бабочка в саду...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Только я на это дело не давал подписку ― чёрной сажей щёки мазать, издалёка как неясыть говорить свое угу через не могу. "
" икёщ йежас йонрёч ― уксипдоп лавад ен";"ьтазам";"не давал подписку ― чёрной сажей щёки ";"мазать";", ";"издалёка как неясыть говорить свое угу";"М. Н. Айзенберг. «Бабочка в саду...» (2015)";"М. Н. Айзенберг";"1948";"«Бабочка в саду...»";"2015";"художественная";"";"";"";"";"";"омонимия не снята";"Только я на это дело не давал подписку ― чёрной сажей щёки мазать, издалёка как неясыть говорить свое угу через не могу. "
